Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.97,0.0,0.78,0.01,0.86,0.01,0.89,0.01
1.0,0.62,0.02,-1,-1,0.77,0.01,0.67,0.02
2.0,0.62,0.02,-1,-1,0.81,0.01,0.74,0.02
3.0,0.62,0.02,-1,-1,0.83,0.01,0.79,0.01
4.0,0.64,0.02,-1,-1,0.84,0.01,0.82,0.01
5.0,0.67,0.02,-1,-1,0.84,0.01,0.83,0.01
6.0,0.72,0.01,-1,-1,0.85,0.01,0.84,0.01
7.0,0.8,0.01,-1,-1,0.85,0.01,0.85,0.01
8.0,0.88,0.01,-1,-1,0.85,0.01,0.85,0.01
9.0,0.91,0.01,-1,-1,0.85,0.01,0.86,0.01
10.0,0.93,0.01,-1,-1,0.85,0.01,0.86,0.01
